date,interest_rate
02-Aug-18,0.75
02-Nov-17,0.5
04-Aug-16,0.25
05-Mar-09,0.5
05-Feb-09,1
08-Jan-09,1.5
04-Dec-08,2
06-Nov-08,3
08-Oct-08,4.5
10-Apr-08,5
07-Feb-08,5.25
06-Dec-07,5.5
05-Jul-07,5.75
10-May-07,5.5
11-Jan-07,5.25
09-Nov-06,5
03-Aug-06,4.75
04-Aug-05,4.5
05-Aug-04,4.75
10-Jun-04,4.5
06-May-04,4.25
05-Feb-04,4
06-Nov-03,3.75
10-Jul-03,3.5
06-Feb-03,3.75
08-Nov-01,4
04-Oct-01,4.5
18-Sep-01,4.75
02-Aug-01,5
10-May-01,5.25
05-Apr-01,5.5
08-Feb-01,5.75
10-Feb-00,6
13-Jan-00,5.75
04-Nov-99,5.5
08-Sep-99,5.25
10-Jun-99,5
08-Apr-99,5.25
04-Feb-99,5.5
07-Jan-99,6
10-Dec-98,6.25
05-Nov-98,6.75
08-Oct-98,7.25
04-Jun-98,7.5
06-Nov-97,7.25
07-Aug-97,7
10-Jul-97,6.75
06-Jun-97,6.5
06-May-97,6.25
30-Oct-96,5.94
06-Jun-96,5.69
08-Mar-96,5.94
18-Jan-96,6.13
13-Dec-95,6.38
02-Feb-95,6.63
07-Dec-94,6.13
12-Sep-94,5.63
08-Feb-94,5.13
23-Nov-93,5.38
26-Jan-93,5.88
13-Nov-92,6.88
16-Oct-92,7.88
22-Sep-92,8.88
05-May-92,9.88
04-Sep-91,10.38
12-Jul-91,10.88
24-May-91,11.38
12-Apr-91,11.88
22-Mar-91,12.38
27-Feb-91,12.88
13-Feb-91,13.38
08-Oct-90,13.88
